stdgCd,lclgvNm,rteId,vhclNo,gthrDt,rteNo,lat,lot,oprDrct,oprSpd,evtCd,evtType,totDt
4686000000,전라남도 함평군,102,251005,2026-04-04 00:00:00,500,35.1616592400,126.8783187900,40,23,,GPS,2026-04-04 20:02:01
4686000000,전라남도 함평군,102,251006,2026-04-05 00:00:00,500,35.1631736800,126.8498764000,351,37,,GPS,2026-04-05 13:52:01
4686000000,전라남도 함평군,102,251007,2026-04-04 00:00:00,500,35.1614685100,126.8817825300,290,56,,GPS,2026-04-04 10:26:01
4686000000,전라남도 함평군,102,251008,2026-04-06 00:00:00,500,35.1631164600,126.8498153700,143,14,,GPS,2026-04-06 13:42:01
4686000000,전라남도 함평군,102,251012,2026-03-24 00:00:00,500,35.1614532500,126.8821487400,91,0,,,2026-03-24 17:04:02
4686000000,전라남도 함평군,102,251019,2026-03-25 00:00:00,500,35.1616401700,126.8778076200,124,12,,,2026-03-25 17:11:01
4686000000,전라남도 함평군,102,251020,2026-03-30 00:00:00,500,35.1617355300,126.8818359400,338,17,,GPS,2026-03-30 19:41:01
4686000000,전라남도 함평군,102,251023,2026-04-02 00:00:00,500,35.1615982100,126.8824920700,6,0,,GPS,2026-04-02 17:06:03
4686000000,전라남도 함평군,102,251025,2026-03-27 00:00:00,500,35.1615257300,126.8804397600,87,48,,GPS,2026-03-27 10:22:01
4686000000,전라남도 함평군,102,251027,2026-04-04 00:00:00,500,35.1514320400,126.8681259200,89,53,,GPS,2026-04-04 16:28:01
4686000000,전라남도 함평군,102,251029,2026-03-17 00:00:00,500,0E-10,0E-10,350,65,,,2026-03-17 10:18:01
4686000000,전라남도 함평군,102,251036,2026-03-23 00:00:00,500,35.1617240900,126.8816833500,70,50,,,2026-03-23 14:00:01
4686000000,전라남도 함평군,102,251037,2026-03-27 00:00:00,500,35.0621604900,126.5234222400,246,12,,GPS,2026-03-27 13:04:02
4686000000,전라남도 함평군,102,251038,2026-04-06 00:00:00,500,35.1492881800,126.7687835700,83,33,,GPS,2026-04-06 16:06:00
4686000000,전라남도 함평군,102,251039,2026-03-23 00:00:00,500,35.1614685100,126.8794937100,87,0,,,2026-03-23 10:38:01
4686000000,전라남도 함평군,102,251043,2026-04-01 00:00:00,500,35.1615638700,126.8839874300,283,0,,GPS,2026-04-01 17:06:00
4686000000,전라남도 함평군,102,251045,2026-03-30 00:00:00,500,35.1614875800,126.8816757200,128,0,,GPS,2026-03-30 10:39:01
4686000000,전라남도 함평군,102,251046,2026-04-03 00:00:00,500,35.1596183800,126.8769607500,352,21,,GPS,2026-04-03 10:44:01
4686000000,전라남도 함평군,104,251000,2026-04-02 00:00:00,500,35.0621643100,126.5237350500,352,21,,GPS,2026-04-02 13:31:01
4686000000,전라남도 함평군,104,251001,2026-04-02 00:00:00,500,35.0622062700,126.5237503100,156,0,,GPS,2026-04-02 08:53:00
4686000000,전라남도 함평군,104,251007,2026-04-04 00:00:00,500,35.0621299700,126.5237274200,152,0,,GPS,2026-04-04 12:19:01
4686000000,전라남도 함평군,104,251012,2026-03-31 00:00:00,500,35.0621032700,126.5237503100,220,0,,GPS,2026-03-31 09:07:01
4686000000,전라남도 함평군,104,251019,2026-04-03 00:00:00,500,35.0623016400,126.5235214200,132,0,,GPS,2026-04-03 12:56:01
4686000000,전라남도 함평군,104,251021,2026-04-04 00:00:00,500,35.0620498700,126.5236892700,333,0,,GPS,2026-04-04 09:06:01
4686000000,전라남도 함평군,104,251023,2026-03-16 00:00:00,500,35.0621337900,126.5236282300,160,0,,,2026-03-16 09:08:00
4686000000,전라남도 함평군,104,251025,2026-03-27 00:00:00,500,35.0620613100,126.5236816400,245,0,,GPS,2026-03-27 12:29:01
4686000000,전라남도 함평군,104,251027,2026-03-26 00:00:00,500,35.0621109000,126.5237503100,166,0,,,2026-03-26 13:34:01
